id,parent_id,comment,sentiment,original_seed_label,sarcasm_flag,hard_case_flag,source_type,generation_signal,phrase_family,split_group,recommended_split
real_00030,seed_00030,fr it was fineeeee 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00030,validation
real_00031,seed_00031,loveee that for me 😏 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00031,train
real_00032,seed_00032,tbh it was avergae 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00032,test
real_00033,seed_00033,idk this is lit ✨,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00033,test
real_00034,seed_00034,omg it was average 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00034,train
real_00035,seed_00035,omg thisssss is terrible 😤,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00035,train
real_00036,seed_00036,omg it was avreageee 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00036,test
real_00037,seed_00037,ngl this is solid 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00037,train
real_00038,seed_00038,idk it was okay 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00038,train
real_00039,seed_00039,justttt perfect 🙃 totallyyy helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00039,train
real_00040,seed_00040,idk it was normal 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00040,validation
real_00041,seed_00041,fr this is awesome ✨,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00041,train
real_00042,seed_00042,ngl this is perefct ❤️,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00042,validation
real_00043,seed_00043,great job 👏 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00043,train
real_00044,seed_00044,great job 😂 totallyyyy helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00044,train
real_00045,seed_00045,fr it was okay 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00045,train
real_00046,seed_00046,just perfect 😏 ttoallyyyyy helpfullll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00046,train
real_00047,seed_00047,omg thissss is awesomeeeee 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00047,train
real_00048,seed_00048,wow amazing 🙃 totallyyy helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00048,train
real_00049,seed_00049,ngl thissss is patheticcccc 💔,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00049,validation
real_00050,seed_00050,bro this is amazinggg 🥳,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00050,train
real_00051,seed_00051,omg this is perfect 😁,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00051,test
real_00052,seed_00052,tbh this is fantasticcc 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00052,validation
real_00053,seed_00053,omg this is awseome 🥳,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00053,train
real_00054,seed_00054,bro this is awesomeeee 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00054,train
real_00055,seed_00055,wow aamzing 👏 totallyyy helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00055,test
real_00056,seed_00056,fr thisssss is tarshhhhh 💔,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00056,train
real_00057,seed_00057,just perfcet 😏 totallyyy helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00057,test
real_00058,seed_00058,highkeyyyy thisss is pathetic 😭,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00058,validation
real_00059,seed_00059,great job 🙄 totallyyyy hlepful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00059,train
real_00060,seed_00060,tbh thissss is amazing ✨,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00060,train
real_00061,seed_00061,idk this is annoying 💔,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00061,train
real_00062,seed_00062,highkey it was normal 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00062,train
real_00063,seed_00063,bro this is eprfectttt 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00063,train
real_00064,seed_00064,lol this is oslid 😁,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00064,train
real_00065,seed_00065,bro it was normalll 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00065,train
real_00066,seed_00066,idk this is great ✨,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00066,train
real_00067,seed_00067,love thtatt for me 😂 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00067,validation
real_00068,seed_00068,fr this is trashhh 💔,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00068,train
real_00069,seed_00069,highkey this is lit 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00069,train
real_00070,seed_00070,lol this is annoying 😭,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00070,validation
real_00071,seed_00071,bro thisss is perfectttt 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00071,train
real_00072,seed_00072,fr it was okayyy 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00072,validation
real_00073,seed_00073,omg this is annoyingggg 😞,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00073,train
real_00074,seed_00074,highkey it was nromal 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00074,train
real_00075,seed_00075,hihgkey this is annoying 👎,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00075,validation
real_00076,seed_00076,lol it was okay 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00076,train
real_00077,seed_00077,highkeyyyyy this is pathetic 😒,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00077,validation
real_00078,seed_00078,fr this is perfect 🥳,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00078,train
real_00079,seed_00079,just perfectttt 🙄 totally helfpul,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00079,validation
real_00080,seed_00080,fr this is gerat 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00080,train
real_00081,seed_00081,love that for me 😂 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00081,validation
real_00082,seed_00082,love that for me 👏 totally hlepful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00082,train
real_00083,seed_00083,tbh it was okyayy 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00083,train
real_00084,seed_00084,ngl this is lit 😁,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00084,train
real_00085,seed_00085,tbh it was okayyyy 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00085,train
real_00086,seed_00086,tbh it was regular 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00086,train
real_00087,seed_00087,idk it was reuglarrrr 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00087,train
real_00088,seed_00088,idk this is amazing 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00088,train
real_00089,seed_00089,highkey it was regularrr 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00089,train
real_00090,seed_00090,lol it was normal 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00090,train
real_00091,seed_00091,omg this is lit ✨,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00091,train
real_00092,seed_00092,love thattttt for me 😂 totally helpfulll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00092,train
real_00093,seed_00093,yeah sure 😂 totally helpfullll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00093,train
real_00094,seed_00094,tbh thissss is awfulll 💔,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00094,train
real_00095,seed_00095,ngl thsissss is pathetic 😞,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00095,test
real_00096,seed_00096,omg it was regular 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00096,train
real_00097,seed_00097,yeah sure 🙄 toatllyyy heplfullll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00097,train
real_00098,seed_00098,fr thisssss is awesomeeee 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00098,train
real_00099,seed_00099,fr this is awesome 🥳,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00099,test
real_00100,seed_00100,highkeyyyyy this is worsttt 😤,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00100,train
real_00101,seed_00101,love that for me 🙃 totallyyyyy helpfulllll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00101,validation
real_00102,seed_00102,idk this is awfullll 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00102,train
real_00103,seed_00103,just perfect 😏 toatlly hlepful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00103,test
real_00104,seed_00104,rgeat job 😂 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00104,train
real_00105,seed_00105,ngl it was fine 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00105,train
real_00106,seed_00106,loveeee that for me 🙄 totally helpfulll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00106,train
real_00107,seed_00107,best everrrr 👏 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00107,test
real_00108,seed_00108,idk it was averageeee 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00108,train
real_00109,seed_00109,yeahhh sure 🙄 totlaly hlepful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00109,train
real_00110,seed_00110,bro it was okay 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00110,train
real_00111,seed_00111,omg thissss is trashhh 👎,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00111,train
real_00112,seed_00112,wow amazinggggg 🙃 totally helpfullll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00112,train
real_00113,seed_00113,idk it was regular 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00113,train
real_00114,seed_00114,higheky it was average 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00114,train
real_00115,seed_00115,omg this is fantasticcc 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00115,train
real_00116,seed_00116,best ever 😒 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00116,train
real_00117,seed_00117,bro this is pathetic 😒,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00117,validation
real_00118,seed_00118,omg it was regular 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00118,train
real_00119,seed_00119,idk it was fine 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00119,train
real_00120,seed_00120,great job 😒 totally helpfullll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00120,train
real_00121,seed_00121,bro it was fine 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00121,validation
real_00122,seed_00122,lowkeyyy thissss is awful 😤,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00122,validation
real_00123,seed_00123,lowkeyyyy this is terribleee 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00123,train
real_00124,seed_00124,bro this is amazing 😍,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00124,test
real_00125,seed_00125,love that for me 😒 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00125,validation
real_00126,seed_00126,wow amaiznggggg 😏 totallyyy helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00126,validation
real_00127,seed_00127,highkey it was normal 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00127,train
real_00128,seed_00128,lowkey this is lit 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00128,validation
real_00129,seed_00129,omg this is great 🥳,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00129,validation
real_00130,seed_00130,ngl this is awflu 👎,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00130,train
real_00131,seed_00131,tbh it was averageeeee 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00131,train
real_00132,seed_00132,omg it was okay 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00132,train
real_00133,seed_00133,fr this is bad 😞,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00133,train
real_00134,seed_00134,highkey this is solid 😍,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00134,train
real_00135,seed_00135,wow amazinggg 😏 totally helpfulllll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00135,train
real_00136,seed_00136,ngl this is awfulll 😞,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00136,test
real_00137,seed_00137,wow maazing 😂 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00137,train
real_00138,seed_00138,bro thisss is rtash 😤,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00138,train
real_00139,seed_00139,lol this is gerat 😍,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00139,train
real_00140,seed_00140,idk thisssss is great 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00140,train
real_00141,seed_00141,bro this is trash 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00141,train
real_00142,seed_00142,fr it was stnadard 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00142,train
real_00143,seed_00143,idk this is treribleeeee 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00143,train
real_00144,seed_00144,idk it was regularrrr 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00144,train
real_00145,seed_00145,wow amazinggggg 😂 totallyyyyy helpfulllll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00145,train
real_00146,seed_00146,idk thisss is awufl 😤,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00146,validation
real_00147,seed_00147,bestttt ever 😒 totally helfpulllll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00147,train
real_00148,seed_00148,idk thisssss is terrible 😭,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00148,train
real_00149,seed_00149,lol this is trashhhh 💔,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00149,test
real_00150,seed_00150,love that for me 😂 totally helpfullll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00150,train
real_00151,seed_00151,ngl htisss is annoying 😠,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00151,train
real_00152,seed_00152,tbh this is solid 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00152,train
real_00153,seed_00153,highkey this is awesome 😍,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00153,train
real_00154,seed_00154,yeah sure 🙃 totallyyyy helfpul,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00154,train
real_00155,seed_00155,wow amazigngggg 👏 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00155,validation
real_00156,seed_00156,loveee that for me 😒 totally helpfullll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00156,train
real_00157,seed_00157,tbh thissss is fantastic 🤩,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00157,test
real_00158,seed_00158,ngl thissss is terrible 👎,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00158,train
real_00159,seed_00159,lwokey this is owrst 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00159,train
real_00160,seed_00160,fr this is bad 👎,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00160,train
real_00161,seed_00161,highkey this is bad 😤,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00161,train
real_00162,seed_00162,tbh it was average 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00162,train
real_00163,seed_00163,bro this is solid 🥳,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00163,train
real_00164,seed_00164,lowkeyyy this is amzaingggg 🤩,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00164,train
real_00165,seed_00165,lol this is pathetci 😭,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00165,train
real_00166,seed_00166,bro htisss is worsttt 😒,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00166,test
real_00167,seed_00167,ngl this is greattt 🥳,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00167,train
real_00168,seed_00168,omg this is oslid ❤️,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00168,train
real_00169,seed_00169,highkyeyyyy thisss is bad 😭,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00169,train
real_00170,seed_00170,lol it was average 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00170,test
real_00171,seed_00171,yeah sureeee 👏 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00171,train
real_00172,seed_00172,omg this is annoying 👎,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00172,train
real_00173,seed_00173,lol this is annoying 😤,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00173,train
real_00174,seed_00174,highkey this is gerat 🥳,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00174,train
real_00175,seed_00175,fr this is trsah 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00175,train
real_00176,seed_00176,lol this is greattt 😁,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00176,train
real_00177,seed_00177,love that for me 😒 totally helpfullll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00177,train
real_00178,seed_00178,lowkeyyyyy thisss is trashhhhh 😭,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00178,validation
real_00179,seed_00179,idk this is worst 😤,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00179,train
real_00180,seed_00180,tbh thissss is trash 😒,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00180,train
real_00181,seed_00181,wow amazingggg 😒 ottally helfpul,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00181,test
real_00182,seed_00182,great job 😏 totallyyyy helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00182,train
real_00183,seed_00183,yeah sure 😂 totally helpfulllll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00183,validation
real_00184,seed_00184,ngl this is awesome 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00184,train
real_00185,seed_00185,wow amazing 🙃 totally helpfulllll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00185,validation
real_00186,seed_00186,ngl thisss is great 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00186,train
real_00187,seed_00187,highkey this is perfecttt 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00187,train
real_00188,seed_00188,ngl this is greattt ✨,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00188,train
real_00189,seed_00189,lowkey thisssss is tarsh 😭,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00189,train
real_00190,seed_00190,great job 😒 totallyyy helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00190,train
real_00191,seed_00191,bro it was okayyy 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00191,train
real_00192,seed_00192,ngl thisssss is awful 😠,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00192,train
real_00193,seed_00193,lol this is pathetic 😠,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00193,train
real_00194,seed_00194,wow amazing 👏 totlaly helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00194,train
real_00195,seed_00195,lol this is bad 👎,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00195,train
real_00196,seed_00196,tbh it was regular 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00196,test
real_00197,seed_00197,omg it was fine 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00197,train
real_00198,seed_00198,yeah sure 😏 totally helfpul,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00198,validation
real_00199,seed_00199,idk it was normallll 😐,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00199,train
real_00200,seed_00200,bestttt ever 😏 totally helpfulll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00200,validation
real_00201,seed_00201,loveeeee that for me 🙄 ttoally helpfulll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00201,train
real_00202,seed_00202,fr this is lit 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00202,train
real_00203,seed_00203,yeah sure 👏 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00203,validation
real_00204,seed_00204,lol this is solidddd 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00204,train
real_00205,seed_00205,ngl this is lit 🔥,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00205,train
real_00206,seed_00206,wow amazing 👏 totally ehlpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00206,test
real_00207,seed_00207,omg it was standard 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00207,train
real_00208,seed_00208,wow amazing 😏 toatlly helpfulllll,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00208,train
real_00209,seed_00209,tbh this is terrible 👎,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00209,train
real_00210,seed_00210,best ever 😏 toatlly helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00210,test
real_00211,seed_00211,lowkey it was standardddd 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00211,train
real_00212,seed_00212,fr this is soliddd 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00212,validation
real_00213,seed_00213,lol it was ifneee 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00213,train
real_00214,seed_00214,highkeyyyyy thisss is sloid 🤩,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00214,train
real_00215,seed_00215,lol this is perfect 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00215,train
real_00216,seed_00216,lol it was averageeeee 🤷,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00216,train
real_00217,seed_00217,greattttt job 🙄 totally helpful,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00217,test
real_00218,seed_00218,highkey this is trash 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00218,train
real_00219,seed_00219,highkey thisssss is worst 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00219,train
real_00220,seed_00220,besttt ever 😂 totally helfpul,Negative,Sarcastic,1,1,real_seed,real_observation,real_seed,seed_00220,test
real_00221,seed_00221,fr it was averageeee 🙂,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00221,validation
real_00222,seed_00222,omg it was okay 🫤,Neutral,Neutral,0,0,real_seed,real_observation,real_seed,seed_00222,test
real_00223,seed_00223,omg thisssss is terrible 😡,Negative,Negative,0,0,real_seed,real_observation,real_seed,seed_00223,test
real_00224,seed_00224,omg this is awesome ❤️,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00224,validation
real_00225,seed_00225,bro thisss is great 😄,Positive,Positive,0,0,real_seed,real_observation,real_seed,seed_00225,test
